Title,Date_of_Release,Genre,Crew_dir,Cast_stars,Plot_summary,Age_of_content,Votes,ImDBRating
Irada,2017,"Drama, Mystery, Thriller            ",Aparnaa Singh,"Naseeruddin Shah, Arshad Warsi, Divya Dutta, Sharad Kelkar",An NIA officer tries to unravel the conspiracy that led to the bombing of a business tycoon's factory.,4,1336,6.3
Aakhree Raasta,1986,"Action, Crime, Drama            ",Bhagyaraj,"Amitabh Bachchan, Sridevi, Jaya Prada, Om Shivpuri",An ex-convict is bent on revenge against the people responsible for his wrongful imprisonment but is pit against his estranged son who is now a police officer.,35,1325,7.0
Run,2004,"Action, Comedy, Drama            ",Jeeva,"Abhishek Bachchan, Bhoomika Chawla, Mahesh Manjrekar, Vijay Raaz","This action movie is filled with romance and adventure. As Abhisek fights for his life against the forces of crime and injustice, he meets Bhoomika, who captures his heart.",17,1323,4.9
Badal,2000,"Action, Crime, Drama            ",Raj Kanwar,"Bobby Deol, Rani Mukerji, Ashutosh Rana, Ashish Vidyarthi","Badal (Bobby Deol) is a victim of the 1984 riots, brought up by a terrorist (Ashish Vidyarthi). Badal lives with the sole aim of exterminating a police cop Rana (Ashutosh Rana) now the DGP....                See full summary »",21,1323,4.9
Hacked,2020,Thriller            ,Vikram Bhatt,"Hina Khan, Sid Makkar, Rohan Shah, Sheetal Dabholkar",A young woman finds her life turned upside down when she rejects the advances of a teenage hacker.,1,1322,4.4
Happy Hardy and Heer,2020,"Comedy, Romance            ",Raka,"Ashwin Dhar, Karen Elliot, Trupti Khamkar, Kavita Kumari","Happy and Heer grow up as best friends, with Happy falling for Heer over the years. When she moves to London, Happy goes with her on the pretext of getting a job. He hopes that she will ...                See full summary »",1,1321,5.6
Always Kabhi Kabhi,2011,"Comedy, Crime, Drama            ",Roshan Abbas,"Lillete Dubey, Satyajeet Dubey, Ali Fazal, Manoj Joshi","A story centered on four students coming of age during a year at their school, St. Marks.",10,1320,4.0
Swarg,1990,Drama            ,avid Dhawan,"Rajesh Khanna, Govinda, Madhavi, Juhi Chawla","Krishna is very loyal to his master and treats him like God. Unfortunately, he gets thrown out of the house and the master becomes a pauper. But loyal Krishna returns to change things for the master.",31,1320,6.7
Haan Maine Bhi Pyaar Kiya,2002,"Drama, Musical, Romance            ",harmesh Darshan,"Akshay Kumar, Karisma Kapoor, Abhishek Bachchan, Kader Khan",Shiv (Abhishek Bachchan) and Pooja (Karisma Kapoor) are happily married to each other but sometimes can get into the most petty arguments coming from the way they approach life. Shiv takes ...                See full summary »,19,1315,3.7
Jayantabhai Ki Luv Story,2013,"Action, Comedy, Romance            ",Vinnil Markan,"Vivek Oberoi, Neha Sharma, Rahul Singh, Nikhil Ratnaparkhi","Jayantabhai is a street-thug and small time gangster, who unexpectedly falls in love with his enemy, who is Simrin. A romantic caper about how people unknowingly fall in love with people they least expect to.",8,1311,5.3
Chain Kulii Ki Main Kulii,2007,"Comedy, Drama, Family            ",Karanjeet Saluja,"Zain Khan, Rahul Bose, Kapil Dev, Nasir Khan","An orphan kid who goes on to achieve name, fame and above all self belief.",14,1308,5.7
Happy Phirr Bhag Jayegi,2018,Comedy            ,Mudassar Aziz,"Sonakshi Sinha, Diana Penty, Jimmy Sheirgill, Ali Fazal","Harpreet Kaur, a woman who travels to China to find her fiance, gets mistakenly kidnapped by some thugs whose assignment was to abduct another woman of the same name travelling by the same flight.",3,1307,4.5
Bade Dilwala,1999,"Comedy, Drama, Romance            ",Shakeel Noorani,"Sunil Shetty, Priya Gill, Paresh Rawal, Archana Puran Singh","A police officer Ram (Sunil Shetty), a man of his word. His wife Manthara (Archana Puran Singh) is obsessed with money and neglects her family in pursuit of getting rich quick. She forces ...                See full summary »",22,1306,3.6
Phoonk,2008,"Drama, Horror, Mystery            ",Ram Gopal Varma,"Sudeep, Amruta Khanvilkar, Ahsaas Channa, Ashwini Kalsekar",An atheist is forced to consult an exorcist after his daughter shows signs of being possessed.,13,1303,3.9
Aflatoon,1997,"Action, Comedy, Crime            ",Guddu Dhanoa,"Akshay Kumar, Urmila Matondkar, Anupam Kher, Shazia Malik","Trouble ensues when Raja is framed for crimes that actually committed by his evil lookalike Rocky, and the former must prove his innocence and eliminate his nemesis.",24,1303,4.6
Mirch Masala,1986,"Drama, Thriller            ",Ketan Mehta,"Smita Patil, Naseeruddin Shah, Om Puri, Ratna Pathak Shah","In colonial India, subedars (tax collectors) went from village to village with soldiers, often demanding more than taxes. A subedar commands Sonbai, a beautiful and confident woman whose ...                See full summary »",35,1302,7.7
Mili,1975,"Drama, Romance, Family            ",Hrishikesh Mukherjee,"Jaya Bachchan, Amitabh Bachchan, Usha Kiran, Ashok Kumar","A reclusive, depressed man and a bubbly young woman fall in love but then find out that she has cancer.",46,1301,7.5
Ammaa Ki Boli,2021,"Comedy, Drama            ",Narayan Chauhan,"Sanjay Mishra, Hrishitaa Bhatt, Master Aniket, Ashraf",Interesting story about the series of events that transpire when one member of a large family purchases a scooter and a couple of his friends take it for a ride.,0,1297,7.5
Arjun Patiala,2019,"Action, Comedy            ",Rohit Jugraj,"Diljit Dosanjh, Kriti Sanon, Varun Sharma, Ronit Roy","This spoof comedy narrates the story of a cop Arjun Patiala (Diljit Dosanjh) and his sidekick Onidda Singh (Varun Sharma). Together, will they be able to accomplish their mission of a crime-free town with their goofy style of policing?",2,1295,4.3
Aamdani Atthanni Kharcha Rupaiya,2001,"Comedy, Drama, Family            ","s:K. Raghavendra Rao, A.S. Ravindra Babu","Govinda, Juhi Chawla, Tabu, Chandrachur Singh","In order to make ends meet, three women steps out from their houses for earning. However, this irks their jobless husbands who can go to extreme lengths to stop them.",20,1295,4.8
Aashayein,2010,Drama            ,Nagesh Kukunoor,"John Abraham, Anaitha Nair, Girish Karnad, Farida Jalal",A man meets with assorted characters in a nursing home after being diagnosed with cancer.,11,1292,7.1
Waqt,1965,"Drama, Romance            ",Yash Chopra,"Sunil Dutt, Sadhana, Raaj Kumar, Shashi Kapoor","Members of a family are separated in a natural disaster. Several years down the line, they aren't united but their lives are strangely interconnected.",56,1290,7.8
Khelein Hum Jee Jaan Sey,2010,"Action, Drama, History            ",Ashutosh Gowariker,"Abhishek Bachchan, Deepika Padukone, Sikandar Kher, Maninder Singh",Children who are not allowed by the oppressive British colonists to play football decide to join a group of freedom fighters.,11,1288,5.8
Sanam Bewafa,1991,"Drama, Romance            ",Saawan Kumar Tak,"Salman Khan, Chandni, Kanchan, Pran","Salman falls in love with Ruksar but their fathers, despite being neighbours, are sworn enemies. The couple end up marrying but they are shocked when they finally discover the reason why their fathers allow the marriage to take place.",30,1276,5.4
Jail,2009,Drama            ,Madhur Bhandarkar,"Manoj Bajpayee, Atul Kulkarni, Neil Nitin Mukesh, Mugdha Godse","Remanded to policy custody, a man reviews his options in an overcrowded jail while awaiting trial.",12,1275,6.2
Khamoshiyan,2015,"Drama, Horror, Romance            ",Karan Darra,"Gurmeet Choudhary, Ali Fazal, Sapna Pabbi, Debina Choudhary","An erotic love triangle revolving around a writer adrift in the icy slopes of Kashmir where he discovers a woman with a strange, silent past.",6,1274,4.0
Karzzzz,2008,"Action, Drama, Musical            ",Satish Kaushik,"Himesh Reshammiya, Urmila Matondkar, Shweta Kumar, Dino Morea","A singer/dancer, while on tour, starts hallucinating and having visions of having been there before.",13,1271,2.1
Saawan... The Love Season,2006,"Drama, Fantasy, Romance            ",Saawan Kumar Tak,"Salman Khan, Saloni Aswani, Kapil Jhaveri, Prem Chopra",Raj and Kajal lives are shattered when a man with supernatural ability predicts that Kajal will die.,15,1268,2.8
Samrat & Co.,2014,"Mystery, Thriller            ",Kaushik Ghatak,"Rajeev Khandelwal, Madalsa Sharma, Gopal Datt, Girish Karnad",A small town tycoon gets murdered. The daughter hires a private investigator to catch the real culprit.,7,1266,6.3
16 December,2002,"Action, Thriller            ",Mani Shankar,"Milind Soman, Danny Denzongpa, Gulshan Grover, Dipannita Sharma",Indian intelligence agents race against time to stop a renegade Pakistani terrorist from detonating a nuclear weapon in Delhi.,19,1266,6.9
Meri Jung,1985,"Action, Drama            ",Subhash Ghai,"Anil Kapoor, Girish Karnad, Nutan, Amrish Puri",Two top lawyers battle against each other while the whole city witnesses the battle.,36,1266,7.3
Ajooba,1991,"Action, Adventure, Comedy            ","s:Shashi Kapoor, Gennadiy Vasilev","Amitabh Bachchan, Dimple Kapadia, Rishi Kapoor, Sonam","The evil Vizier of Baharistan kills the royal family and takes power himself but the real crown prince, who has survived his machinations, returns to his homeland to avenge his parents as a masked vigilante 'Ajooba'.",30,1253,5.3
Kanpuriye,2019,Drama            ,Ashish Aryan,"Aparshakti Khurana, Divyendu Sharma, Vijay Raaz, Rajshri Deshpande","The story revolves around the story of three boys from the small town of Kanpur, who have big dreams, and even bigger challenges.",2,1250,6.4
Vishwatma,1992,"Action, Drama, Thriller            ",Rajiv Rai,"Naseeruddin Shah, Sunny Deol, Chunky Panday, Sonam","A cop and a criminal, both on their respective missions of duty and revenge, go from India to Kenya in order to extradite a reclusive crime lord to India.",29,1250,6.5
Nasha,2013,"Drama, Thriller            ",Amit Saxena,"Poonam Pandey, Shivam Patil, Vishal Bhonsle, Mohit Chauhan","A teenage boy becomes smitten with his new drama teacher and pursues her, despite the perilous risks of being found out.",8,1245,3.2
Yeh Majhdhaar,1996,"Drama, Romance            ",Esmayeel Shroff,"Salman Khan, Manisha Koirala, Rahul Roy, Malvika Tiwari","Judge Krishna (Rahul Roy) and Radha (Manisha Koirala) are in love. Due to class conflicts, they are unable to marry, but continue with a very intimate relationship, which results in Radha ...                See full summary »",25,1244,4.9
Barsaat,1995,"Action, Romance            ",Rajkumar Santoshi,"Bobby Deol, Twinkle Khanna, Raj Babbar, Mukesh Khanna","A naive young man and a rich city girl fall in love. Her stepfather, however, doesn't approve of the match and will stop at nothing to split the pair.",26,1231,5.4
Road,2002,Thriller            ,Rajat Mukherjee,"Manoj Bajpayee, Vivek Oberoi, Antara Mali, Sayaji Shinde","A couple decide to pick up a hitchhiker, but he ends up being a psychotic stalker who puts in them in danger.",19,1230,5.6
Children of War,2014,"Drama, History, War            ",Mrityunjay Devvrat,"Farooq Shaikh, Victor Banerjee, Pawan Malhotra, Indraneil Sengupta",Would you go to war for peace? A war child's search for acceptance and a nation inundated in blood.,7,1228,6.8
Tum Bin 2,2016,"Drama, Romance            ","s:Anubhav Sinha, Peter Pedrero","Neha Sharma, Aditya Seal, Aashim Gulati, Mouni Roy","After a skiing accident, Taran thinks her fiance is dead and grieves for months. Soon, Shekhar enters her life, helps her rediscover happiness and falls in love with her.",5,1227,4.8
Jis Desh Mein Ganga Rehta Hain,2000,"Comedy, Crime, Drama            ",Mahesh Manjrekar,"Govinda, Sonali Bendre, Rinke Khanna, Milind Gunaji",Gangaram alias Ganga has been raised by his foster parents who reside in the village thus he gets accustom to village life. 24 years later his birth parents multi-millionaire Avinash and ...                See full summary »,21,1225,4.9
Barot House,2019,"Mystery, Thriller            ",Bugs Bhargava Krishna,"Amit Sadh, Manjari Fadnnis, Aaryan Menghji, Kishaa Arora",A series of inexplicable and gruesome killings tear the Barot family apart and destroy the close relationship between father and son. Who could be behind this mindless slaughter? When the ...                See full summary »,2,1221,7.3
Bangistan,2015,"Comedy, Drama            ",Karan Anshuman,"Jacqueline Fernandez, Michalina Olszanska, Riteish Deshmukh, Rajesh Sharma","Two blundering terrorists with lofty ideologies, but ordinary talent, on a mission to change the world.",6,1218,4.5
One Night Stand,2016,"Drama, Romance            ","""    Director:Jasmine D'Souza""","Tanuj Virwani, Sunny Leone, Narendra Jetley, Aamir Ahmed",The story is about Urvil Raisingh and Celina who meet at an event and a memorable night later. Returning back home they continue with their lives. The memories of Celina haunt Urvil. What happens next forms the crux of the unfolding drama. One Night Stand explores the hypocritical world we live in. What is it that Urvil wants?,5,1215,3.1
Alag: He Is Different.... He Is Alone...,2006,"Action, Drama, Fantasy            ",Ashu Trikha,"Akshay Kapoor, Dia Mirza, Yatin Karyekar, Jayant Kripalani",An odd orphan boy is forced to use his secret super powers when his new classmates bully him. A scientist abducts him to use the boy's powers for his own evil gains.,15,1215,3.8
'D',2005,"Crime, Drama, Thriller            ",Vishram Sawant,"Randeep Hooda, Chunky Panday, Rukhsar Rehman, Isha Koppikar","Deshu, a mechanic from Dubai, comes home to Mumbai, and gets embroiled in a crime by accident. The film shows his meteoric rise from common, law-abiding man to underworld kingpin.",16,1212,6.8
Pizza,2014,Horror            ,Akshay Akkineni,"Akshay Oberoi, Parvathy Omanakuttan, Arunoday Singh, Dipannita Sharma",A Pizza delivery boy's mundane life takes a horrifying turn when he is sent to make a delivery to the home of a family who have a dark secret. Will he be able to overcome the evil that lurks in the shadows and live to tell his tale?,7,1210,6.2
Shaadi Karke Phas Gaya Yaar,2006,"Comedy, Drama, Romance            ",K.S. Adiyaman,"Salman Khan, Shilpa Shetty Kundra, Reema Lagoo, Mohnish Bahl","Ayaan tricks a model into marrying him, when she leaves her diary in his family's garage, allowing him to follow her around.",15,1210,4.0
I Am 24,2010,"Comedy, Romance            ",Saurabh Shukla,"Rajat Kapoor, Ranvir Shorey, Neha Dhupia, Manjari Fadnnis","Subhendu, a middle-aged writer, falls in love with a much younger woman named Sheela. In order to woo her, he pretends to be a younger man.",11,1209,6.0
Barah Aana,2009,"Comedy, Crime, Drama            ",Raja Menon,"Naseeruddin Shah, Vijay Raaz, Arjun Mathur, Violante Placido",Three impoverished room-mates kidnap middle-classed men and demand small ransoms to improve their respective lifestyles.,12,1198,6.8
Aksar,2006,"Drama, Romance, Thriller            ",Ananth Narayan Mahadevan,"Emraan Hashmi, Udita Goswami, Dino Morea, Tara Sharma",A love triangle where everybody is blackmailing the other two gets a nasty upset when one of them is suddenly found murdered.,15,1196,4.8
Laadla,1994,"Drama, Family            ",Raj Kanwar,"Anil Kapoor, Sridevi, Raveena Tandon, Farida Jalal","The headstrong owner of a factory, Sheetal, marries Raju, the union leader of the factory, to quell his spirit and teach him a lesson. In the process, she ends up learning a few lessons herself.",27,1195,5.8
Sainik,1993,"Action, Drama, Romance            ",Sikander Bharti,"Akshay Kumar, Ashwini Bhave, Farheen, Alok Nath",Lieutenant Suraj Dutt successfully fails an arms dealing on the border.He soon comes on leave and goes to meet his sister Mini where he comes across Alka.Alka and Sooraj soon fall in love ...                See full summary »,28,1193,6.1
Wajah Tum Ho,2016,"Drama, Mystery, Romance            ",Vishal Pandya,"Sharman Joshi, Sana Khaan, Gurmeet Choudhary, Rajniesh Duggall",People get entangled in a mystery when a murder is committed on live television.,5,1190,4.4
Keemat: They Are Back,1998,"Action, Comedy, Drama            ",Sameer Malkan,"Akshay Kumar, Raveena Tandon, Saif Ali Khan, Sonali Bendre","After a man is killed when a mugging goes wrong, the two small-time crooks responsible try to make amends by pretending to be his best friends and helping his village.",23,1190,5.7
Rudraksh,2004,"Action, Fantasy, Sci-Fi            ",Mani Shankar,"Sanjay Dutt, Bipasha Basu, Sunil Shetty, Isha Koppikar","A doctor travels from America to India to investigate a man with paranormal healing powers, and uncovers the existence of a dark power that has the potential to transform humans into a new species.",17,1189,2.7
Baa Baaa Black Sheep,2018,"Action, Comedy, Crime            ",Vishwas Paandya,"Anupam Kher, Annu Kapoor, Manish Paul, Kay Kay Menon","Baa Baa Black Sheep is the story of Baba, who is still trying to find his bearings. Baba's father, Charudutt Sharma who is a boring Cashew nut dealer for everyone, reveals to a shocked Baba...                See full summary »",3,1187,6.4
Saare Jahaan Se Mehnga...,2013,"Comedy, Drama            ",Anshul Sharma,"Annapoorna, V.M. Badola, Rampal Barsewal, Mukesh Bharti","A man under pressure due to the countrys growing inflation rates comes up with a unique idea to deal with the rising prices. However, things go wrong and his naivety lands him in big trouble.",8,1185,7.1
Yeh Ballet,2020,Drama            ,Sooni Taraporevala,"Julian Sands, Jim Sarbh, Sarah Jane Dias, Rahul Khanna","Discovered by an eccentric ballet master, two gifted but underprivileged Mumbai teens face bigotry and disapproval as they pursue their dancing dreams.",1,1183,7.6
Haathi Mere Saathi,1971,"Drama, Family, Musical            ",M.A. Thirumugham,"Rajesh Khanna, Tanuja, David Abraham, Sujit Kumar","Orphaned Raju, in the company of four elephants, has to perform with them at street corners, in order to keep alive. Slowly he amasses a fortune, and is able to build his own private zoo, ...                See full summary »",50,1182,6.9
Naya Daur,1957,"Action, Drama, Musical            ",B.R. Chopra,"Dilip Kumar, Vyjayanthimala, Ajit, Chand Usmani","When the son of a landlord decides to modernize his business by replacing the horse carts with buses, a horse cart rider decides to challenge him.",64,1175,8.0
Maa Tujhhe Salaam,2002,"Action, Drama            ",Tinnu Verma,"Sunny Deol, Tabu, Arbaaz Khan, Tinnu Verma",Major Pratab Singh works in the Indian army and he and his battalion has been assigned duty near the Indo-Pakistan border. There duty mainly consists of eliminating any terrorists trying to...                See full summary »,19,1173,3.5
Woh 7 Din,1983,"Drama, Romance            ",Bapu,"Anil Kapoor, Padmini Kolhapure, Naseeruddin Shah, Raju Shrestha","Maya, coming from poor family, is married to the affluent Dr. Anand; but she tries to commit suicide on the nuptial night. She tells Anand that she was in love with Prem whose ambition was ...                See full summary »",38,1172,7.6
Teesri Manzil,1966,"Comedy, Musical, Mystery            ",Vijay Anand,"Shammi Kapoor, Asha Parekh, Raj Mehra, Prem Chopra","A woman blames a nightclub drummer for the suspicious death of her sister, and seeks revenge. However, the pair work together to solve the mystery and become romantically involved, after he introduces himself under another name.",55,1172,7.7
Ajji,2017,"Crime, Drama            ",vashish Makhija,"Sushama Deshpande, Smita Tambe, Sharvani Suryavanshi, Abhishek Banerjee",Little Manda is found raped and dumped in a trash heap near her slum. Her parents are more concerned with survival than dignity. The cops are powerless to help as the rapist is a local ...                See full summary »,4,1170,6.9
Mujhe Kucch Kehna Hai,2001,"Drama, Romance            ",Satish Kaushik,"Tusshar Kapoor, Kareena Kapoor, Amrish Puri, Rinke Khanna","Karan, a small time musician, tries to win over a girl named Pooja.",20,1169,5.0
Maine Dil Tujhko Diya,2002,"Action, Romance            ",Sohail Khan,"Sohail Khan, Sameera Reddy, Sanjay Dutt, Kabir Bedi","In order to win his love back, a rebellious youth accepts a deadly challenge from her father with several hurdles.",19,1166,3.8
Do Knot Disturb,2009,"Comedy, Drama            ",avid Dhawan,"Govinda, Sushmita Sen, Riteish Deshmukh, Lara Dutta",A man and a woman have to pretend to be a couple in order to salvage a CEO's marriage.,12,1165,3.7
Dil Kya Kare,1999,"Drama, Musical, Romance            ",Prakash Jha,"Ajay Devgn, Mahima Chaudhry, Kajol, Chandrachur Singh",An emotional saga of a mother who has lost her child and her love.,22,1165,5.1
Katha,1983,"Comedy, Drama            ",Sai Paranjape,"Naseeruddin Shah, Farooq Shaikh, Deepti Naval, Jalal Agha","Secretly in love with his neighbor, a mild-mannered clerk is heartbroken when his much bolder, more charming friend wins her heart instead.",38,1164,7.8
Ghulam-E-Musthafa,1997,"Action, Crime, Drama            ",Partho Ghosh,"Nana Patekar, Raveena Tandon, Paresh Rawal, Aruna Irani",A gangster shuns the path of crime after his lover is killed by his rivals but soon he is dragged by his boss once again in the criminal world to do one last job.,24,1160,6.6
Angrezi Mein Kehte Hain,2018,"Drama, Romance            ",Harish Vyas,"Shivani Raghuvanshi, Anshuman Jha, Ekavali Khanna, Sanjay Mishra",Angrezi Mein Kehte Hein is a family drama and explores changing relationships between a middle aged couple. Its about the realization that sometimes just loving someone is not enough and expressing that love is equally important.,3,1157,6.8
Baton Baton Mein,1979,"Comedy, Romance            ",Basu Chatterjee,"Amol Palekar, Tina Ambani, Asrani, David Abraham","Nancy and Tony meet regularly on their daily commute to work and gradually fall in love. But when Tony shows reluctance toward marriage, Nancy's mother starts looking for a groom for her daughter.",42,1157,7.5
Monsoon Shootout,2013,"Action, Crime, Drama            ",Amit Kumar,"Vijay Varma, Nawazuddin Siddiqui, Neeraj Kabi, Geetanjali Thapa","As heavy rains lash Mumbai, a cop on his first assignment faces a life altering decision when he must decide whether to shoot a suspect or not.",8,1156,6.6
Chor Machaaye Shor,2002,"Action, Comedy, Crime            ",avid Dhawan,"Bobby Deol, Om Puri, Paresh Rawal, Shekhar Suman","A thief pretends to be a cop in order to recover his diamond from a site that has been converted into the police headquarters. Although he becomes a favourite of the ACP, a colleague gets suspicious.",19,1156,4.2
Banjo,2016,"Action, Drama, Music            ",Ravi Jadhav,"Riteish Deshmukh, Nargis Fakhri, Aditya Kumar, Ram Menon","A banjo player seeks fame, success, and respect.",5,1150,4.9
I See You,2006,"Comedy, Drama, Fantasy            ",Vivek b Agrawal,"Arjun Rampal, Vipasha Agarwal, Chunky Panday, Boman Irani","Dr. Shivani Dutt lives a wealthy lifestyle in London, England, along with her widowed mom, and a dog named Kaali. She works at the Thomwell Hospital. One day she notices that some of her ...                See full summary »",15,1149,4.1
Jodi Breakers,2012,"Comedy, Musical, Romance            ",Ashwini Chaudhary,"Bipasha Basu, Helen, Pradeep Kharab, Madhavan",A man (R. Madhavan) who helps wronged parties get out of bad relationships meets his match when he takes on a business partner (Bipasha Basu).,9,1148,3.5
Dilwaala,1986,"Action, Comedy, Drama            ",K. Muralimohana Rao,"Mithun Chakraborty, Smita Patil, Meenakshi Sheshadri, Shakti Kapoor","When a MLA's son kills his wife, a man attempts to bring him to justice and hopes that his estranged sister a Judge, will support him in the cause.",35,1148,3.7
Yamla Pagla Deewana Phir Se...,2018,"Action, Comedy, Drama            ",Navaniat Singh,"Dharmendra, Sunny Deol, Bobby Deol, Kriti Kharbanda",An upright Ayurveda practitioner is hounded by big pharmacy giants for his age-old formula that cures everything.,3,1145,4.5
Zid,2014,"Crime, Romance, Thriller            ",Vivek Agnihotri,"Mannara Chopra, Karanvir Sharma, Shraddha Das, Denzil Smith","A journalist, who is still in love with his ex-girlfriend, becomes the obsession of his landlord's daughter.",7,1142,4.4
Bombay to Goa,1972,"Action, Adventure, Comedy            ","s:Mehmood, S. Ramanathan","Mehmood, Aruna Irani, Amitabh Bachchan, Shatrughan Sinha",College student Mala has dreams of becoming a Bollywood movie actress; her dreams began materializing into reality when she is approached by Mr. Sharma and his assistant Mr. Verma who ...                See full summary »,49,1141,6.8
Mission Istaanbul: Darr Ke Aagey Jeet Hai!,2008,"Action, Adventure, Drama            ",Apoorva Lakhia,"Vivek Oberoi, Zayed Khan, Shriya Saran, Shabbir Ahluwalia",A news reporter must uncover the secret on the 13th floor of a News Station.,13,1137,3.4
Awwal Number,1990,"Action, Drama, Sport            ",v Anand,"Dev Anand, Aamir Khan, Ekta Sohini, Aditya Pancholi",The DGP of Police discovers a terrorist plot hatched by a sacked cricketer to blow up the stadium where an important cricket match is in progress.,31,1137,5.3
Jungle,2000,"Action, Adventure, Romance            ",Ram Gopal Varma,"Sunil Shetty, Fardeen Khan, Urmila Matondkar, Sushant Singh","A survival tale of two lovers, who tries their best to escape a jungle which is governed by a cold blooded dacoit.",21,1135,6.1
Raakh,1989,"Action, Crime, Drama            ",Aditya Bhattacharya,"Aamir Khan, Supriya Pathak, Pankaj Kapur, Jagdeep","A poor, young man teams up with a burnt out cop to avenge the humiliation of his former girlfriend by a gang of goons.",32,1134,7.5
Dillagi,1999,"Drama, Musical, Romance            ",Sunny Deol,"Sunny Deol, Bobby Deol, Urmila Matondkar, Dara Singh","When Ranvir, the responsible elder brother of a middle-class Indian family, realises that his reckless younger brother Rajvir is in love, he arranges for Rajvir's marriage, not realising that the girl is the same person he is in love with.",22,1134,5.3
Netaji Subhas Chandra Bose: The Forgotten Hero,2005,"Biography, Drama, History            ",Shyam Benegal,"Vinay Anand, Ila Arun, Pankaj Berry, Nicolas Chagrin","The film, which is about the last five years of the Indian leader Subhas Chandra's life, also includes his life's story in flashback sequences.",16,1132,7.6
The Killer,2006,"Action, Crime, Drama            ","s:Hasnain Hyderabadwala, Raksha Mistry","Irrfan Khan, Emraan Hashmi, Priyanka Kothari, Bharti Achrekar",A cab driver finds himself held hostage by a hitman who forces him to drive through the roads of Dubai and help him kill his targets.,15,1128,4.7
Ek Ladka Ek Ladki,1992,"Comedy, Romance            ",Vijay Sadanah,"Salman Khan, Neelam Kothari, Anupam Kher, Asrani","A daughter returns to her deceased father's estate. She discovers that her uncle, who looks after the estate, has been embezzling her father's money.",29,1127,5.7
Firangi,2017,"Comedy, Drama            ",Rajiv Dhingra,"Kapil Sharma, Ishita Dutta, Monica Gill, Edward Sonnenblick","When there are disputes in life, love overcomes all challenges and truth prevails. Set in the colonial era, Firangi is the story of a mutiny staged by the villagers against the Britishers.",4,1126,4.4
1921,2018,"Horror, Mystery, Romance            ",Vikram Bhatt,"Zareen Khan, Karan Kundra, Vikram Bhatt, Angela Krislinzki","A decade after 1920. When Ayush arrives in England to learn music, he is shocked and scared when the manor he is living in becomes haunted by spirits. To exorcise them, he seeks the help of Rose, a woman who can see and speak with them.",3,1123,4.5
The Train: Some Lines Should Never Be Crossed...,2007,"Crime, Drama, Thriller            ","s:Hasnain Hyderabadwala, Raksha Mistry","Emraan Hashmi, Geeta Basra, Rajat Bedi, Ananth Narayan Mahadevan","When two married business executives having an affair are blackmailed by a violent criminal, the two must turn the tables on him to save their families.",14,1121,4.3
Armaan,2003,"Drama, Family, Romance            ",Honey Irani,"Amitabh Bachchan, Anil Kapoor, Preity Zinta, Gracy Singh",Dr. Siddharth Sinha is a dedicated selfless doctor who dreams of building a state-of-the-art hospital with all the modern instruments and amenities for patient care . His foster son Akash ...                See full summary »,18,1120,5.2
Ek Duuje Ke Liye,1981,"Drama, Musical, Romance            ",K. Balachander,"Kamal Haasan, Rati Agnihotri, Madhavi, Sunil Thapa","The cross-cultural romance between Vaasu and Sapna meets heavy opposition from their family, who vow to stop their union at any cost. As the star-crossed lovers forbidden love ensues, nothing will prepare them for their tragic destiny.",40,1118,7.5
Naksha,2006,"Action, Adventure, Fantasy            ",Sachin Bajaj,"Sunny Deol, Vivek Oberoi, Sameera Reddy, Jackie Shroff","An archaeologist loses life to protect a map from a rival. In the journey to unlock the mysteries of the map, his two sons overcome death-defying obstacles.",15,1117,3.3
...Yahaan,2005,"Drama, Romance, War            ",Shoojit Sircar,"Jimmy Sheirgill, Minissha Lamba, Yashpal Sharma, Mukesh Tiwari","In the disputed territory of Kashmir, a young Muslim woman meets and falls in love with a Hindu man. As a result of their love and desire for marriage, they commit the greatest sin according to those wrapped up in the Kashmiri conflict.",16,1117,7.4
Kaali Khuhi,2020,"Drama, Horror, Mystery            ",Terrie Samundra,"Shabana Azmi, Sanjeeda Sheikh, Satyadeep Misra, Riva Arora","Shivangi, a 10 year old girl, is put to the ultimate test to save her family's village from the restless ghosts of its horrific past.",1,1116,3.5
Kareeb,1998,"Drama, Romance            ",Vidhu Vinod Chopra,"Bobby Deol, Shabana Raza, Abhay Chopra, Moushumi Chatterjee","Birju is a young man who lives with his mom, dad, elder brother, Bhabhi and nephew in an upper middle class home. His father would like him to work as well as accept some responsibility, ...                See full summary »",23,1111,6.5
Chhappad Phaad Ke,2019,Drama            ,Sameer Joshi,"Siddharth Menon, Vinay Pathak, Ayesha Raza, Anuj Sullere","Chappad Phaad Ke is a satirical look at the consumerism and hypocrisy that engulfs us in our daily lives, set in the background of a typical middle class Maharashtrian family. The Gupchup ...                See full summary »",2,1110,6.4
Ramji Londonwaley,2005,"Comedy, Drama, Family            ",Sanjay Dayma,"Madhavan, Samita Bangargi, Harsh Chhaya, Suneeta Sengupta","A small-town cook moves to London to earn a living, but from his employer's sudden death to the immigration officials on his trail, plans soon go sour.",16,1098,6.7
Shikhar,2005,Drama            ,John Mathew Matthan,"Ajay Devgn, Shahid Kapoor, Bipasha Basu, Amrita Rao",Jai Vardhan is influenced by an overambitious man. He is unable to differentiate the good from the bad and is carried over into a world full of women and wealth.,16,1093,4.9
